EP350MX,EP450,DEP450,R2,SL500,DEP250,A8,X10d,Código,Descripción,Clasificación,LISTA
,,X,X,,,,,PMLN8435,Estuche cuero duro con presilla para cinturón 3'' y anillos D,, $ 85.648 
,,X,X,,,,,PMLN5610,"Repuesto para presilla giratoria 2,5''",, $ 28.964 
,,X,X,,,,,PMLN5611,Repuesto para presilla giratoria 3'',, $ 29.077 
X,X,X,X,,X,,,HLN9985,Funda impermeable,, $ 48.877 
,,,X,,,,,PMLN8502,Kit de retención para mayor seguridad de accesorios en la radio (pack 25),, $ 354.810 
,,X,X,,X,,,NTN5243,Tirante para colgar al hombro (para estuches de cuero),, $ 31.770 
,,,,X,,,,PMLN6074,Correa de mano de nylon,, $ 11.721 
,,,,X,,,,PMLN7076,Correa de mano flexible,, $ 17.197 
,,,,X,,,,PMLN7128,Clip de cinturón (heavy-duty),, $ 15.636 
,,,,X,,,,PMLN7190,Funda de transporte giratoria,, $ 16.609 
,,X,X,,X,,,RLN4570,Pechera desprendible,, $ 92.866 
,X,X,,,,,,RLN5383,Estuche de cuero con sujetador para cinturón,, $ 77.230 
,X,X,,,,,,RLN5384,Estuche cuero con sujetador para cinturón giratorio de 6. 4 cm,, $ 75.759 
,X,X,,,,,,RLN5385,Estuche cuero con sujetador para cinturón giratorio de 7. 6 cm,, $ 75.759 
,,X,,,,,,RLN5716,Remplazo correa para estuches de cuero,, $ 9.775 
,X,X,,,,,,RLN5644,"Clip para cinturon 2,5""",, $ 7.332 
,,,,,,,,RLN6302,Estuche de cuero duro,, $ 52.769 
,,,,,,X,,PMLN4421,Estuche cuero con sujetador,, $ 31.679 
,,,,,,X,,PMLN4468,Estuche neopreno gris,, $ 17.650 
,,,,,,X,,PMLN4742,Estuche cuero duro,, $ 43.989 
,,,,,,X,,PMLN4743,"Clip con resorte de 2""",, $ 6.834 
,,,,,,,X,PMLN8600,Belt clip 2'',, $ 7.648 
,X,X,,,,,,TDN9373,"Base para colgar radio a paneles de puerta de 6,9 cm hasta 8 cm",, $ 31.770 
Cargadores,,,,,,,,,,,
