Producto,Nombre Modelo Especial,Caracteristicas ,Recomendados,Descripción,Modelo,Canales,Frecuencia,,Watts,$ Lista
SLR5100,,"Analog Conventional,Digital (MOTOTRBO),Tier 2 Conventional – Single Site,Dynamic Mixed Mode,Tier 2 Conventional – IP Site Connect,Capacity Plus Single-Site Trunking,Capacity Plus Multi-Site Trunking,Connect Plus Trunking,Digital Voting,Tier 3 Capacity Max,Connect Plus,Capacity Max ",,El repetidor MOTOTRBO SLR 5100 ofrece un servicio de alto rendimiento y confiabilidad con todas las características que necesita para conectar su lugar de trabajo. Tiene una forma elegante y su bajo consumo de energía es ideal para su operatividad.,,,,,,
SLR5100,,,,,LAR10JCGANQ1BN,64,136-174 MHz,,50 W, $  3.331.274 
SLR5100,,,,,LAR10TCGANQ1BN,64,450-570 MHz,,50 W, $  3.331.274 
SLR1000,,"Analog Conventional,Digital Conventional,IP Site Connect,Capacity Plus,Linked Capacity Plus,Connect Plus,Capacity Max                         ",,"El repetidor SLR 1000 le permite extender fácilmente el alcance de su red a ""zonas muertas"" y ubicaciones remotas para que nadie quede sin cobertura. Cuenta con certificación IP65 para protección contra polvo y agua, por lo que puede ser implementado sin problemas tanto en interiores como en exteriores.",,,,,,
SLR1000,,,,,,64,136-174 MHz,,10 W, $  3.663.473 
SLR1000,,,,,,64,400-512 MHz,,10 W, $  3.663.473 
