R5,DEP 500e / 570e,SL 500e,DGP 4100,DGP 6100,DGP 6100+,DGP 5000 / 5000e,DGP 8000 / 8000e,SL 8050,SL8550 e,Código,Descripción,DEP500 UL TIA-4950,DGP 5000/8000e UL TIA-4950,,LISTA
,,,,,,,,,,Micrófonos,,,,,
,X,X,X,X,X,X,X,X,X,RLN6562,"MPR inalámbrico para operaciones críticas con batería, clip y cargador dual *Serie DEP500 sólo versión e",,,, $ 452.111 
,,,X,X,X,X,X,,,RLN6561,MPR inalámbrico para operaciones críticas con batería y clip,,,, $ 378.796 
,,,X,X,X,X,X,,,NNTN8382,Micrófono Industrial con cancelador de ruido Impres - sumergible (IP57) - UL,,X,, $ 309.621 
,,,X,X,X,X,X,,,NNTN8383,"Micrófono Industrial con cancelador de ruido Impres,conector 3,5mm de jack audio sumergible (IP57) - UL",,X,, $ 390.155 
,,,X,X,X,X,X,,,PMMN4024,"Micrófono parlante remoto IP54 con conector de audio de 3,5 mm FM / UL",,X,, $ 121.219 
,,,X,X,X,X,X,,,PMMN4025,"Micrófono parlante remoto IMPRES IP54 con conector de audio de 3,5 mm FM / UL",,X,, $ 115.630 
,,,X,X,X,X,X,,,PMMN4040,Micrófono parlante remoto sumergible (IP57) FM / UL,,X,, $ 77.275 
,,,,X,X,,,,,PMMN4041,"Micrófono seguridad pública Impres, 30'' cable ",,,, $ 185.777 
,,,,X,X,,,,,PMMN4042,"Micrófono seguridad pública Impres, 24'' cable Intrínsicamente Seguro FM / UL",,,, $ 185.732 
,,,,X,X,,,,,PMMN4043,"Micrófono seguridad pública Impres, 18'' cable Intrínsicamente Seguro FM / UL",,,, $ 185.732 
,,,X,X,X,X,X,,,PMMN4046,"Micrófono Impres con control de volumen, sumergible (IP57) FM / UL",,X,, $ 144.277 
,,,,X,X,,,,,PMMN4047,"Micrófono seguridad pública Impres, 30'' cable, sumergible IP57, Intrínsicamente Seguro FM",,,, $ 240.470 
,,,,X,X,,,,,PMMN4049,"Micrófono seguridad pública Impres, 18'' cable, sumergible IP57, Intrínsicamente Seguro FM / UL",,,, $ 263.935 
,,,X,X,X,X,X,,,PMMN4050,"Micrófono Impres con control de volumen, w/3.5mm jack, cancelador de ruido FM / UL",,X,, $ 143.689 
X,X,,,,,,,,,PMMN4071,Impres Micrófono Parlante Remoto 3.5mm jack grande,X,,, $ 144.685 
X,X,,,,,,,,,PMMN4073,Impres Micrófono Parlante Remoto 3.5mm jack pequeño,X,,, $ 125.134 
X,X,,,,,,,,,PMMN4075,"Micrófono Parlante Remoto, pequeño IP57",X,,, $ 102.641 
X,X,,,,,,,,,PMMN4076,"Micrófono Parlante Remoto, pequeño 3,5 jack",X,,, $ 100.695 
,,,X,X,X,X,X,,,RLN6074,Kit de remplazo cable espiral para micrófono-parlante remoto para PMMN4024 y PMMN4040,,,, $ 93.839 
,,,X,X,X,X,X,,,PMKN4234,"Kit de remplazo cable espiral para micrófono-parlante remoto para PMMN4025, PMMN4046 y PMMN4050",,,, $ 68.428 
,,,X,X,X,X,X,,,RLN6562,Micrófono Parlante Remoto inalámbrico de operaciones críticas con batería y clip y cargador dual,,,, $ 452.111 
,,,X,X,X,X,X,,,PMMN4024,"Micrófono parlante remoto con conector de audio de 3,5 mm FM / UL",,,, $ 121.219 
,,,,,,X,X,,,PMMN4099,Micrófono parlante remoto Windporting IMPRES grande sumergible IP68,,X,, $ 230.129 
,,X,,,,,,X,X,PMMN4125,"Micrófono parlante remoto con cable RM250, grande IP67",,,, $ 207.727 
X,,,,,,,,,,PMMN4127,WM500 Micrófono parlante remoto inalámbrico para operaciones críticas,,,, $ 313.423 
X,,,,,,,,,,PMMN4170,"RM560 Micrófono parlante remoto IMPRES, windporting, grande, 3,5mm. IP67",,,, $ 162.357 
X,,,,,,,,,,PMMN4171,"RM530 Micrófono parlante remoto IMPRES, windporting, pequeño. 3,5mm, IP67",,,, $ 146.812 
X,,,,,,,,,,PMLN8652,"Auricular de recepción, extra fuerte, con tubo translúcido con conector 3,5mm",,,, $ 135.769 
X,,,,,,,,,,PMMN4108,"Micrófono parlante remoto, windporting IP67",,,, $ 152.491 
,,,,,,,,,,Otros accsesorios,,,,,
X,X,,,,,,,,,PMLN8671,NFC KIT,,,, $ 13.577 
,,,,,,,,,,Cables programación,,,,,
X,X,,,,,,,,,PMKN4115,Cable de programación USB,,,, $ 34.847 
X,X,,,,,,,,,PMKN4117,"Cable de programación, prueba y alineación",,,, $ 136.900 
,,,X,X,,X,X,,,PMKN4012,Cable de programación USB,,,, $ 191.661 
,,,X,X,,X,X,,,PMKN4013,"Cable de programación, prueba y alineación",,,, $ 168.467 
,,,X,X,,X,X,,,PMKN4040,Cable de telemetría portátil,,,, $ 111.195 
,,,X,X,,X,X,,,PMKN4071,Cable conector portable NON-PC,,,, $ 77.343 
