R5,DEP 500e / 570e,SL 500e,DGP 4100,DGP 6100,DGP 6100+,DGP 5000 / 5000e,DGP 8000 / 8000e,SL 8050,SL8550 e,Código,Descripción,DEP500 UL TIA-4950,DGP 5000/8000e UL TIA-4950,,LISTA
,,,,,,,,X,X,PMLN6000,Covertor de batería BT70,,,, $ 44.645 
,,,,,,,,X,X,PMLN6001,Covertor de batería BT90,,,, $ 48.967 
,,X,,,,,,,,PMLN7074,Covertor de batería BT100 ,,,, $ 28.330 
,,,,X,X,,,,,PMNN4065,NiMh 1300 MAH-IP57,,,, $ 94.812 
,,,,,,X,X,,,NNTN8560,"Batería impres Li-Ion, 2500 MAH, sumergible (IP67) - TIA4950 / UL * Serie NO e",,X,, $ 360.670 
,,,X,X,X,,,,,PMNN4077,Impres Li-Ion 1700 MAH-IP57,,,, $ 138.236 
,X,,,,,X,X,,,PMNN4544,Impres Li Ion 2250 MAH alta capacidad sumergible IP68 (reemplazo de la PMNN4409),,,, $ 149.301 
,X,,,,,X,X,,,PMNN4448,Batería sumergible impres Hi-Cap Li-Ion 2800 MAH (IP67),,,, $ 240.515 
,,X,,,,,,X,X,PMNN4468,Batería de Li-Ion de 2300T. Remplazo de HKNN4013,,,, $ 73.474 
,X,,,,,X,X,,,PMNN4488,Impres Hi-Cap 3000 MAH. Para usar con PMLN7296,,,, $ 269.434 
,,,,,,X,X,,,PMNN4489,TIA Impres Volt bajo 2900 MAH - TIA4950 / UL * Modelos DGP en versión e,,X,, $ 237.596 
,X,,,,,,,,,PMNN4490,TIA impres Volt bajo 2900 MAH - TIA4950 / UL,X,,, $ 371.125 
,X,,,,,X,X,,,PMNN4491,"Impres slim Li-ion, batería de 2100 MAH",,,, $ 169.146 
,,,,,,,,X,X,PMLN6745,Tapa de batería para BT 100,,,, $ 23.760 
,,,,,,X,X,,,PMNN4493,"Batería impres Li-Ion, 3000 MAH, IP68 ",,,, $ 227.526 
X,,,,,,,,,,PMNN4888,Batería Li-Ion 2200mAh IMPRES IP67 ,,,, $ 186.660 
X,,,,,,,,,,PMNN4889,Batería Li-Ion 3200mAh IMPRES IP67 ,,,, $ 233.251 
X,,,,,,,,,,PMNN4890,Batería Li-Ion 3200mAh IMPRES TIA4950 Hazloc IP67,,,, $ 314.509 
,,,,,,,,,,Cargadores,,,,,
,,,,,,,,X,X,3004209T03,Cable de alimentación US del cargador de múltiples unidades,,,, $ 9.775 
,X,,X,X,X,X,X,,,NLN7967,Kit de montaje para cargador multiple de pared,,,, $ 36.047 
X,X,,X,X,X,X,X,,,NNTN7616,Cargador de vehículo impres,,,, $ 602.158 
,X,,X,X,X,X,X,,,NNTN8525,Cargador de viaje,,,, $ 130.995 
X,X,,X,X,,X,X,,,PMPN4577,Cargador individual IMPRES enchufe euro,,,, $ 95.943 
,,,,,,,,X,X,PMLN6701,Cargador estándar de tres unidades,,,, $ 104.949 
,,X,,,,,,,,PMLN7110,Cargador estándar individual. Enchufe euro,,,, $ 61.594 
,,,,,,,,X,X,PS000042A11,Cargador rápido estándar de una unidad micro-USB (reemplaza PMPN4009),,,, $ 27.154 
X,,,,,,,,,,EPNN7991,Fuente de alimentación para cargador individual de carga rápida,,,, $ 23.465 
X,X,,X,X,X,X,X,,,PMPN4289,"IMPRES 6 bolsillos, 1 cargador con pantalla (reemplazo sugerido para WPLN4212) enchufe euro",,,, $ 893.473 
,,,,,,,,,,Estuches Portables,,,,,
,X,,X,X,X,X,X,,,4200865599,"cinturón (cinturón de cuero negro ancho de 1.75 "")",,,, $ 34.214 
,X,,X,X,X,X,X,,,4280384F89,Extensión para radio pak,,,, $ 8.553 
X,X,,X,X,X,X,X,,,HLN6602,"Pechera Universal con soporte de radio, lápiz y velcro de seguridad",,,, $ 53.765 
X,X,,X,X,X,X,X,,,HLN9985,Funda impermeable. Incluye correa,,,, $ 48.877 
X,X,,X,X,X,X,X,,,NTN5243,Tirante para colgar al hombro (para estuches D),,,, $ 31.770 
X,X,,X,X,X,X,X,,,RLN6486,Correa de radio de bombero,,,, $ 77.977 
X,X,,X,X,X,X,X,,,RLN6487,"Correa de radio de bombero, XL",,,, $ 83.543 
X,X,,X,X,X,X,X,,,RLN6488,Correa antivuelco para correas de radio de cuero,,,, $ 29.733 
X,X,,X,X,X,X,X,,,PMLN4651,2'' Clip de cinturón,,,, $ 15.636 
,,,X,X,X,,,,,PMLN4652,"2,5'' Clip de cinturón",,,, $ 17.605 
,,,,X,X,,,,,PMLN5015,"Estuche de nylon de 3""",,,, $ 46.433 
,,,,X,X,,,,,PMLN5019,"Estuche de cuero duro de 2,5"" giratorio",,,, $ 90.445 
,,,,X,X,,,,,PMLN5020,"Estuche de cuero duro de 3"" giratorio",,,, $ 91.373 
,,,,X,X,,,,,PMLN5021,"Estuche de cuero duro de 3""",,,, $ 76.891 
,,,X,X,X,,,,,PMLN5022,"2,5 "" remplazo hebilla cinturón giratorio",,,, $ 18.827 
,,,X,X,X,,,,,PMLN5023,"3 ""Correa de eslabón giratorio de reemplazo",,,, $ 19.234 
X,X,,,,,X,X,,,PMLN5610,"Reemplazo lazo giratorio 2.5""",,,, $ 28.964 
X,X,,,,,X,X,,,PMLN5611,"Reemplazo lazo giratorio 3""",,,, $ 29.077 
,,,X,X,X,,,,,PMLN5028,"Estuche de cuero duro 2,5"" giratorio",,,, $ 83.113 
,,,X,X,X,,,,,PMLN5029,"Estuche rígido de cuero 3 "" con lazo de la correa para la radio sin pantalla",,,, $ 85.037 
,,,X,X,X,,,,,PMLN5030,"Estuche rígido de cuero 3 "" con lazo giratorio de la correa para la radio sin pantalla",,,, $ 70.826 
,,,,,,X,X,,,PMLN5838,"Estuche de cuero duro 3"" fijo para radio con pantalla",,,, $ 72.523 
,,,,,,X,X,,,PMLN5839,"Estuche de cuero duro 3"" fijo para radio sin pantalla",,,, $ 71.392 
,,,,,,X,X,,,PMLN5840,"Estuche de cuero duro 3"" giratorio para radio con pantalla",,,, $ 85.037 
,,,,,,X,X,,,PMLN5842,"Estuche de cuero duro 2,5"" giratorio para radio con pantalla",,,, $ 82.887 
,,,,,,X,X,,,PMLN5843,"Estuche de cuero duro 2,5"" giratorio para radio sin pantalla",,,, $ 82.118 
,,,,,,X,X,,,PMLN5844,"Estuche de nylon de 3"" fijo para radio con pantalla",,,, $ 46.433 
,,,,,,X,X,,,PMLN5845,"Estuche de nylon de 3"" fijo para radio sin pantalla",,,, $ 46.433 
,,,,,,X,X,,,PMLN5846,"Estuche de cuero duro 3"" giratorio para radio sin pantalla",,,, $ 85.037 
,X,,,,,,,,,PMLN5863,"Estuche rígido de cuero estuche blando fijo de 3 ""para radio con teclado limitado (DEP570)",,,, $ 70.374 
,X,,,,,,,,,PMLN5864,"Estuche de cuero duro 3"" fijo para radio sin pantalla",,,, $ 70.374 
,X,,,,,,,,,PMLN5865,"Estuche rígido de cuero con 3 ""lazo giratorio de la correa para la radio del teclado limitado (DEP570)",,,, $ 82.027 
,X,,,,,,,,,PMLN5866,"Estuche de cuero duro 3"" giratorio para radio sin pantalla",,,, $ 81.077 
,X,,,,,,,,,PMLN5867,"Estuche de cuero duro con lazo de correa giratoria de 2.5"" para radio con teclado limitado (DEP570)",,,, $ 80.964 
,X,,,,,,,,,PMLN5868,"Estuche de cuero duro 2,5"" giratorio para radio sin pantalla",,,, $ 79.991 
,X,,,,,,,,,PMLN5869,"Estuche de nylon con lazo de cinturón fijo de 3 ""para radio con teclado limitado (DEP570)",,,, $ 46.433 
,X,,,,,,,,,PMLN5870,"Estuche de nylon de 3"" fijo para radio sin pantalla",,,, $ 46.433 
,,,,,,,,X,X,PMLN5956,Protector giratorio,,,, $ 16.609 
,,X,,,,,,X,X,PMLN6074,Correa de muñeca de nylon,,,, $ 11.721 
X,X,,,,,X,X,,,PMLN7008,"Clip para cinturón 2,5"" (Sólo DEP550, DEP570, DGP5050 y DGP5550)",,,, $ 17.605 
,,X,,,,,,,,PMLN7076,Correa de mano flexible,,,, $ 17.197 
,,X,,,,,,,,PMLN7128,Clip de cinturón (heavy-duty),,,, $ 15.636 
,,X,,,,,,,,PMLN7190,Funda de transporte giratoria,,,, $ 16.609 
,X,,,,,X,X,,,PMLN7296,Clip de cinturón con alerta vibrante utilizado con batería PMNN4488,,,, $ 25.163 
,,,,,,,,X,X,PMLN7040,"Estuche de cuero suave con clip de cinturón giratorio de 1.5 """,,,, $ 41.704 
,X,,X,X,X,X,X,,,RLN4570,Pechera desprendible,,,, $ 92.866 
,,,X,X,X,,,,,1571477L01,Cubierta de polvo del conector accesorio,,,, $ 12.016 
,X,,,,,,,,,PMLN6066,Protector de polvo,,,, $ 9.187 
,,,,,,X,X,,,15012157001,Protector de polvo,,,, $ 40.799 
X,,,,,,,,,,PMLN8664,Estuche de nylon con presilla fija 3'' para cinturón (LKP),,,, $ 55.439 
X,,,,,,,,,,PMLN8663,"Estuche de cuero rígido, presilla fija de 3'' para cinturón (LKP)",,,, $ 85.987 
X,,,,,,,,,,PMLN8662,"Estuche de cuero rígido, presilla giratoria de 3'' para cinturón (LKP)",,,, $ 101.827 
X,,,,,,,,,,PMLN8667,Estuche de nylon con presilla fija 3'' para cinturón (NKP),,,, $ 55.439 
X,,,,,,,,,,PMLN8666,"Estuche de cuero rígido, presilla fija de 3'' para cinturón (NKP)",,,, $ 85.987 
X,,,,,,,,,,PMLN8665,"Estuche de cuero rígido, presilla giratoria de 3'' para cinturón (NKP)",,,, $ 101.827 
,,,,,,,,,,Diademas ,,,,,
,,,X,X,X,X,X,,,PMLN5096,D-Style con mic. FM / UL,,X,, $ 108.231 
,,,X,X,X,X,X,,,PMLN5101,Transductor Intrínsicamente Seguro FM,,,, $ 430.116 
,,,X,X,X,X,X,,,REX4648,Kit de almohadillas y cubridor de viento,,,, $ 9.685 
,,,X,X,X,X,X,,,PMLN6852,Diadema detrás de la cabeza heavy duty con micrófono de cancelación de ruido,,,, $ 787.460 
,,,X,X,X,X,X,,,PMLN7466,Diadema arriba de la cabeza heavy duty con micrófono de cancelación de ruido,,,, $ 787.460 
,,,,,,X,X,,,PMLN6853,Diadema detrás de la cabeza heavy duty con micrófono de cancelación de ruido,,X,, $ 977.537 
,,,,,,X,X,,,PMLN7467,Diadema arriba de la cabeza heavy duty con micrófono de cancelación de ruido,,X,, $ 977.537 
,,,X,X,X,X,X,,,RLN6490,"XBT diadema BTN, de alta resistencia, BT",,,, $ 1.196.261 
,,,X,X,X,X,X,,,RLN6495,Boom mic para auriculares XBT (pieza de recambio),,,, $ 268.823 
,,,X,X,X,X,X,,,RLN6496,Almohadillas de enfriamiento para diadema XBT (pieza de repuesto),,,, $ 18.329 
,,,X,X,X,X,X,,,RLN6497,Kit de higiene para diadema XBT (pieza de repuesto),,,, $ 20.773 
,,,X,X,X,X,X,,,RLN6498,PSU Universal de 5V para diadema XBT (pieza de repuesto),,,, $ 77.592 
X,X,,,,,,,,,PMLN6760,"Diadema atrás de la cabeza heavy duty, con micrófono de pluma con cancelación de ruido",,,, $ 704.008 
X,X,,,,,,,,,PMLN6763,"Diadema atrás de la cabeza heavy duty, con micrófono de pluma con cancelación de ruido. TIA-4950",X,,, $ 850.367 
X,X,,,,,,,,,PMLN7464,"Diadema atrás de la cabeza heavy duty, con micrófono de pluma con cancelación de ruido",,,, $ 677.442 
X,X,,,,,,,,,PMLN7465,"Diadema atrás de la cabeza heavy duty, con micrófono de pluma con cancelación de ruido. TIA-4950",X,,, $ 811.786 
,,,X,X,X,X,X,,,RMN5058,Diadema ligera Intrínsicamente Segura FM,,X,, $ 139.887 
,,,X,X,X,X,X,,,PMLN6830,Anillo PTT remoto (para uso con el módulo de interfaz PMLN6827),,,, $ 87.978 
