ION,R7,Código,Descripción,LISTA
,,,Kits de repuestos para micrófonos remotos,
X,X,PMKN4232,"Cable de repuesto para RSM PMMN4128, PMNN4131, PMMN4140", $ 72.410 
X,X,PMLN8122,"Repuesto cubierta antipolvo. Pack 10. PMMN4128, PMMN4140", $ 10.862 
X,X,PMLN8253,Repuesto de cubierta antipolvo. Pack 10. PMNN4131, $ 24.076 
,,,Estuches de Cuero,
,X,PMLN8299,Estuche rígido de cuero con presilla fija para cinturón de 3 pulgadas. Giratorio (display), $ 97.595 
,X,PMLN8300,"Estuche rígido de cuero con presilla giratoria para cinturón de 2,5 pulgadas. Giratorio (display)", $ 94.269 
,X,PMLN8301,Estuche rígido de cuero con presilla fija para cinturón de 3 pulgadas. Fijo (display), $ 88.250 
,X,PMLN8302,Estuche de cuero rígido con presilla para cinturón giratoria de 3 pulgadas (no display), $ 97.595 
,X,PMLN8303,"Estuche rígido de cuero con presilla giratoria para cinturón de 2,5 pulgadas (no display)", $ 94.269 
,X,PMLN8304,Estuche de cuero rígido con presilla para cinturón fija de 3 pulgadas (no display), $ 80.715 
,,,Soluciones de Transporte,
,X,HLN9985,Funda impermeable. Incluye correa, $ 48.877 
,X,HLN6602,"Pechera Universal con soporte de radio, lápiz y velcro de seguridad", $ 53.765 
,X,NTN5243,Tirante para colgar al hombro (para estuches D), $ 31.770 
,X,RLN6486,Correa de radio de bombero, $ 77.977 
,X,RLN6487,"Correa de radio de bombero, XL", $ 83.543 
,X,RLN6488,Correa antivuelco para correas de radio de cuero, $ 29.733 
,X,PMLN6074,Correa de muñeca de nylon, $ 11.721 
X,,PMLN8126,"Carcaza de plástico con clip para cinturón de 2,5""", $ 16.428 
X,,PMLN8127,Carcaza de plástico con clip giratorio para cinturón, $ 59.874 
,X,PMHN4429,"Funda antipolvo, GCAI Mini", $ 12.129 
,,,Clips,
X,X,PMLN4651,Clip de cinturón de 2 pulgadas con acción de resorte, $ 15.636 
X,X,PMLN7008,"Clip de cinturón de 2,5 pulgadas con acción de resorte", $ 17.605 
,X,PMLN5610,"Trabilla de cuero para cinturón giratoria de repuesto de 2,5 pulgadas", $ 28.964 
X,,PMLN5407,"Repuesto de presilla giratoria de cuero duro 2,5 pulgadas", $ 29.326 
X,,PMLN5409,Repuesto de presilla giratoria de cuero duro 3 pulgadas, $ 29.326 
,X,PMLN5611,Correa giratoria de cuero de repuesto de 3 pulgadas, $ 29.077 
,,,Cable de Programación,
,X,PMKN4265,Cable de Programación Equipos R7, $ 138.032 
X,,PMKN4230,Cable de datos y programación con certificado UL, $ 271.538 
,,,Protectores de Pantalla,
,X,AY000808A01,"Protector de pantalla transparente, paquete individual", $ 13.577 
,X,AY000808A02,"Protector de pantalla transparente, pack 10", $ 95.038 
,X,AY000808A03,"Protector de pantalla transparente, pack 50", $ 443.512 
