DEM 500,DGM4100 DGM6100,DGM4100+ DGM6100+,DGM5000/5000e 5500/5500e,DGM8000/8000e 8500/8500e,Código,Descripción,,LISTA
,X,X,X,X,RSN4002,Bocina externa 13 W,, $ 94.178 
,X,X,X,X,RSN4003,Bocina externa 7. 5 W,, $ 66.482 
,X,X,X,X,RSN4004,Bocina externa 5 W,, $ 75.759 
,,,,,Micrófonos,,,
,X,X,X,X,3075336B07,Cable de reemplazo de micrófono compacto,, $ 76.506 
,X,X,X,X,3075336B10,Tarea pesada/ cable de reemplazo del micrófono del teclado,, $ 47.904 
X,,,,,GMMN4065,Microfono visor,, $ 80.149 
X,,,,,HLN9073,Clip para colgar micrófono,, $ 1.946 
X,,,,,HLN9414,Clip para colgar universal,, $ 22.243 
,X,X,X,X,HMN4098,Teléfono de estilo telefónico impres,, $ 367.776 
,X,X,X,X,PMKN4033,Cable de extensión de micrófono para rmn5052-10ft,, $ 64.603 
,X,X,X,X,PMKN4034,Cable de extensión de micrófono para rmn5052-20ft,, $ 65.690 
X,,,,,PMMN4089,Microfono keypad,, $ 132.262 
X,,,,,PMMN4090,Microfono compacto,, $ 54.738 
X,,,,,PMMN4091,Microfono Heavy Duty,, $ 101.691 
,X,X,X,,PMMN4097,Micrófono móvil con puerta de enlace bluetooth,, $ 366.576 
,,,X,X,RLN6490,Auriculares para trabajo pesado detrás del cuello con bluetooth XBT,, $ 1.196.261 
,,,X,X,RLN6491,Auriculares para trabajo pesado tipo vincha con bluetooth XBT,, $ 1.196.261 
,X,X,X,X,RMN5052,Micrófono compacto,, $ 74.288 
,X,X,X,X,RMN5053,Microfono trabajo pesado impres,, $ 120.246 
,X,X,,,RMN5065,Micrófono impres con teclado,, $ 200.395 
,,,X,X,RMN5127,Micrófono impres con teclado de navegación (pantalla alfanumérica),, $ 220.444 
,,,X,X,PMLN7131,Kit de actualización para cabezal remoto con cable 3 metros.,, $ 1.212.395 
,,,X,X,PMKN4174,Extensión de cable recto 5 metros para cabezal de control móvil,, $ 337.250 
,,,,,Montaje,,,
X,,,,,FTN6083,Montaje en tablero,, $ 75.261 
,X,X,X,X,HLN9073,Clip para colgar micrófono,, $ 1.946 
,X,X,X,X,HLN9414,Clip para colgar universal,, $ 22.243 
,X,X,X,X,HKN9557,Adaptador PL259/mini-UHF ,, $ 56.955 
,X,X,,,RLN6079,Soporte de montaje con llave,, $ 192.339 
,,,X,X,RLN6465,In-dash mounting kit-din,, $ 51.321 
X,,,X,X,RLN6466,Kit de unión de bajo perfil,, $ 22.492 
,,,X,X,RLN6467,Kit de union de alto perfil,, $ 29.326 
,,,X,X,RLN6468,Kit de union con bloqueo,, $ 188.877 
,,,,,Kit adaptador de montaje remoto,,,
,X,X,,,PMKN4073,Kit de cable montaje remoto movil 5 metros para usar con PMLN5404,, $ 111.195 
,X,X,,,PMKN4074,Kit de cable montaje remoto movil 3 metros para usar con PMLN5404,, $ 94.088 
,,,X,X,PMLN6404,Kit de montaje remoto móvil ,, $ 188.176 
,,,X,X,PMKN4143,Cable de montaje remoto móvil de 3 metros para usar con PMLN6404,, $ 84.109 
,,,X,X,PMKN4144,Cable de montaje remoto móvil de 5 metros para usar con PMLN6404,, $ 95.151 
,,,X,X,PMKN4070,Adaptador sin PC MAP móvil IMPRES,, $ 51.819 
,,,X,X,PMKN4072,Adaptador sin PC MMP móvil IMPRES,, $ 51.819 
,,,X,X,PMLN6404,Kit adaptador montaje remoto movil ,, $ 188.176 
,,,,,"Nota: Firmware version R02.06.11 o después DEBEN programarse en el movil para un buen funcionamiento del control del montaje remoto. Para instalación en el maletero, se puede necesitar un cable de poder de 20' HKN4192. Cables no incluidos, ver opciones abajo.",,,
,,,,,Accesorios inalámbricos,,,
,X,X,X,X,25012022002,Fuente de alimentacion para cargadores de dos unidades. EURO,, $ 43.559 
,X,X,X,X,AARLN4885,Auricular tipo earbud para recepción,, $ 53.493 
,X,X,X,X,HLN5391,"Clip colgante, requerido para el cargador vehicular",, $ 44.645 
,,,X,X,NNTN8125,"Auricular inalámbrico para operaciones críticas, con cable CABLE 12""",, $ 413.009 
,,,X,X,NNTN8127,"Cápsula Push to Talk inalámbrico (No compatible con Privacy Plus, Connect Plus, or LTR/PassPort)",, $ 223.453 
,,,X,X,NNTN8294,"Auricular inalámbrico con cable de 11.4"", mic en línea, para audio inteligente. Debe solicitarse NNTN8127",, $ 68.428 
,,,X,X,NNTN8295,"Auricular inalámbrico 45.7"", mic en línea, para audio inteligente. Debe solicitarse con NNTN8127",, $ 73.225 
,,,X,X,NNTN8299,Goma de auricular de remplazo,, $ 5.386 
,,,X,X,NNTN8361,"Kit de gomas de repuesto para auriculares inalámbricos (20 pequeños, 20 medianos, 20 grandes y 10 clips)",, $ 51.321 
,,,X,X,RLN5037,Tubos para oidos para auriculares pack 10,, $ 271.538 
,,,X,X,NTN2572,"Remplazo cable auricular inalámbrico 12""",, $ 266.379 
,,,X,X,NTN2575,"Remplazo cable auricular inalámbrico 9,5""",, $ 246.647 
,,,X,X,NTN8988,Almohadillas adhesivas (90 unid) para adhesión segura a la oreja,, $ 29.937 
,,,X,X,PMLN6246,Clip giratorio para operaciones críticas y operaciones mejoradas,, $ 6.721 
,X,X,X,,PMLN7120,Cargador de unidad dual de repuesto,, $ 87.978 
,X,X,X,,PMLN6716,Cargador de viaje vehicular,, $ 117.734 
,X,X,X,,PMLN6743,Clip giratorio de repuesto para rsm inalámbrico de largo alcance,, $ 4.277 
,,,X,X,PMLN7052,Kit de vigilancia inalámbrica de 1 cable de operaciones críticas con tubo translúcido,, $ 97.754 
,,,X,X,PMLN7203,Auricular giratorio con ajuste flexible con pluma,, $ 76.981 
,X,X,X,,PMMN4097,Reemplazo de micrófono móvil con Bluetooth ,, $ 366.576 
,X,X,X,,PMNN4461,Batería de repuesto Li-ion 1800,, $ 106.918 
,X,X,X,X,RLN4941,Auricular de recepción solamente con tubo translucido,, $ 110.244 
,,,X,X,RLN6500,Kit de accesorios Bluetooth ,, $ 146.631 
,X,X,X,,RLN6544,Micrófono inalámbrico de largo alcance con batería y clip,, $ 713.240 
,,,X,X,RLN6550,"Auricular inalámbrico, kit de accesorios Bluetooth multi (paquete de 3 PMLN6397)",, $ 117.304 
,X,X,X,X,RLN6551,Micrófono parlante remoto de largo alcance con Bluetooth y cargador vehicular,, $ 855.345 
,X,X,X,X,RLN6552,Micrófono parlante remoto de largo alcance con Bluetooth sin cargador vehicular,, $ 672.057 
,,,X,X,RLN6556,"Kit accesorios Bluetooth con auricular flexible, módulo Bluetooth y base de carga con fuente de alimentación",, $ 182.723 
,X,X,X,X,PMLN7560,Auricular receptor con tubo comfort,, $ 78.203 
,X,X,X,X,RLN6511,Tapones para los oídos personalizados EP7-SM Sonic Defenders. Pequeño,, $ 48.764 
,X,X,X,X,RLN6512,Tapones para los oídos personalizados EP7-SM Sonic Defenders. Mediano,, $ 48.764 
,X,X,X,X,RLN6513,Tapones para los oídos personalizados EP7-SM Sonic Defenders. Grande,, $ 48.764 
,,,,,PMLN8203AS,"U_MOTOTRBO R7,GOB1 SERVICE KIT",, $ 93.884 
