Producto,Nombre Modelo Especial,Caracteristicas ,Recomendados,Descripción,Modelo,Canales,Frecuencia,,Watts,$ Lista
DGM5000e,Modelo DGM 5000e ,"Privacidad mejorada,Interrupción de llamada,4 botones programables ,Mensajes de texto,Pantalla numérica de 2 dígitos,Audio Inteligente,IP54 impermeable,Bluetooth 4.0 audio/data,Wifi integrado con capacidad de actualización ,firmware por aire,Prueba Vida Acelerada ALT™ Motorola","RMN5065 Micrófono IMPRES con teclado,GLN7318 Montaje para escritorio,RMN5050 Mic. de escritorio ,RMN5054 Micrófono IMPRES para visor,RSN4002 Bocina externa 13W,RLN5929 Interruptor de pedal",,,,,,,
DGM5000e,Modelo DGM 5000e ,,,,LAM28JNC9SA1AN,32,136-174 MHz,,25 W, $  942.785 
DGM5000e,Modelo DGM 5000e ,,,,LAM28JQC9SA1AN,32,136-174 MHz,,45 W, $  1.008.912 
DGM5000e,Modelo DGM 5000e ,,,,LAM28TRC9SA1AN,32,450-527 MHz,,40 W, $  1.011.997 
DGM8000e, Modelo DGM 8000e,"GPS opcional o integrado,Privacidad mejorada,Interrupción de llamada,4 botones programables ,Mensajes de texto,Pantalla numérica de 2 dígitos,Audio Inteligente,IP54 impermeable,Bluetooth 4.0 audio/data,Wifi integrado con capacidad de actualización ,firmware por aire,Prueba Vida Acelerada ALT™ Motorola","RMN5065 Micrófono IMPRES con teclado,GLN7318 Montaje para escritorio,RMN5050 Mic. de escritorio ,RMN5054 Micrófono IMPRES para visor,RSN4002 Bocina externa 13W,RLN5929 Interruptor de pedal",,,,,,,
DGM8000e, Modelo DGM 8000e,,,,LAM28JNC9RA1AN,32,136-174 MHz,,25 W, $  1.070.431 
DGM8000e, Modelo DGM 8000e,,,,LAM28JQC9RA1AN,32,136-174 MHz,,45 W, $  1.136.572 
DGM8000e, Modelo DGM 8000e,,,,LAM28TRC9RA1AN,32,450-527 MHz,,40 W, $  1.136.572 
DGM5500e,Modelo DGM 5500e,"Privacidad mejorada,Interrupción de llamada,4 botones programables ,Mensajes de texto,Pantalla numérica de 2 dígitos,Audio Inteligente,IP54 impermeable,Bluetooth 4.0 audio/data,Wifi integrado con capacidad de actualización ,firmware por aire,Prueba Vida Acelerada ALT™ Motorola","RMN5065 Micrófono IMPRES con teclado,GLN7318 Montaje para escritorio,RMN5050 Mic. de escritorio ,RMN5054 Micrófono IMPRES para visor,RSN4002 Bocina externa 13W,RLN5929 Interruptor de pedal",,,,,,,
DGM5500e,Modelo DGM 5500e,,,,LAM28JNN9SA1AN,1000,136-174 MHz,,25 W, $  1.128.879 
DGM5500e,Modelo DGM 5500e,,,,LAM28JQN9SA1AN,1000,136-174 MHz,,45 W, $  1.196.556 
DGM5500e,Modelo DGM 5500e,,,,LAM28TRN9SA1AN,1000,450-527 MHz,,40 W, $  1.195.020 
DGM8500e ,Modelo DGM 8500e ,"GPS opcional o integrado,Privacidad mejorada,Interrupción de llamada,4 botones programables ,Mensajes de texto,Pantalla numérica de 2 dígitos,Audio Inteligente,IP54 impermeable,Bluetooth 4.0 audio/data,Wifi integrado con capacidad de actualización ,firmware por aire,Prueba Vida Acelerada ALT™ Motorola","RMN5065 Micrófono IMPRES con teclado,GLN7318 Montaje para escritorio,RMN5050 Mic. de escritorio ,RMN5054 Micrófono IMPRES para visor,RSN4002 Bocina externa 13W,RLN5929 Interruptor de pedal",,,,,,,
DGM8500e ,Modelo DGM 8500e ,,,,LAM28JNN9RA1AN,1000,136-174 MHz,,25 W, $  1.254.989 
DGM8500e ,Modelo DGM 8500e ,,,,LAM28JQN9RA1AN,1000,136-174 MHz,,45 W, $  1.321.130 
DGM8500e ,Modelo DGM 8500e ,,,,LAM28TRN9RA1AN,1000,450-527 MHz,,40 W, $  1.321.130 
