ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,¿Existencias?,Inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Posición,Marcas,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3,Nombre del atributo 4,Valor(es) del atributo 4,Atributo visible 4,Atributo global 4,Nombre del atributo 5,Valor(es) del atributo 5,Atributo visible 5,Atributo global 5,Nombre del atributo 6,Valor(es) del atributo 6,Atributo visible 6,Atributo global 6,Nombre del atributo 7,Valor(es) del atributo 7,Atributo visible 7,Atributo global 7,Nombre del atributo 8,Valor(es) del atributo 8,Atributo visible 8,Atributo global 8
3761,variation,743c2fa4e10b,,"Antena tipo látigo UHF 438-470 MHZ - DEP250, UHF",1,0,visible,,Antena rango UHF,1,,0,0,,,,,,0,,Compatibilidad,DEP250,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
3762,simple,8505816K24,,Antena UHF heliflex stubby 403-440,1,0,visible,Antena rango UHF,,1,,0,0,23539,"Ventas > Accesorios, Ventas > Accesorios > Antenas",,,https://www.interwins.cl/wp-content/uploads/2023/06/Antena-UHF-heliflex-stubby-403-440-MHZ.jpg,523,,Compatibilidad,DEP450,1,1,Portabilidad,Portátiles,1,1,Tipo Accesorio,Antenas,1,1,Frecuencia,UHF,1,1,Tipo Producto,Accesorios,1,1,Modalidad,Venta,1,1,Marca,Motorola,1,1,,,,
3766,simple,HAD9742A,,Antena corta 146-172 MHZ,1,0,visible,Antena rango VHF,,1,,0,0,19561,"Ventas > Accesorios, Ventas > Accesorios > Antenas",,,https://www.interwins.cl/wp-content/uploads/2023/12/HAD9742-ANTENA-CORTA-STUBBY-VHF-EN-146-162-MHZ.jpg.jpg,500,,Compatibilidad,DEP450,1,1,Portabilidad,Portátiles,1,1,Tipo Accesorio,Antenas,1,1,Frecuencia,VHF,1,1,Tipo Producto,Accesorios,1,1,Modalidad,Venta,1,1,Marca,Motorola,1,1,,,,
3768,simple,HAD9743A,,Antena corta 162-174 MHZ,1,0,visible,Antena rango VHF,,1,,0,0,19561,"Ventas > Accesorios, Ventas > Accesorios > Antenas",,,https://www.interwins.cl/wp-content/uploads/2023/12/HAD9743-ANTENA-CORTA-STUBBY-VHF-EN-162-174-MHZ.jpg.jpg,501,,Compatibilidad,DEP450,1,1,Portabilidad,Portátiles,1,1,Tipo Accesorio,Antenas,1,1,Frecuencia,VHF,1,1,Tipo Producto,Accesorios,1,1,Modalidad,Venta,1,1,Marca,Motorola,1,1,,,,
3770,simple,NAD6502AR,,Antena heliflex 146-174 MHZ,1,0,visible,Antena rango VHF,,1,,0,0,17808,"Ventas > Accesorios, Ventas > Accesorios > Antenas",,,https://www.interwins.cl/wp-content/uploads/2023/12/NAD6502-ANTENA-HELIFLEX-VHF.jpg,511,,Compatibilidad,DEP450,1,1,Portabilidad,Portátiles,1,1,Tipo Accesorio,Antenas,1,1,Frecuencia,VHF,1,1,Tipo Producto,Accesorios,1,1,Modalidad,Venta,1,1,Marca,Motorola,1,1,,,,
3772,simple,PMAD4012A,,Antena corta VHF 136-155 MHZ,1,0,visible,Antena rango VHF,,1,,0,0,19182,"Ventas > Accesorios, Ventas > Accesorios > Antenas",,,https://www.interwins.cl/wp-content/uploads/2023/06/Antena-corta-VHF-136-155-MHZ.jpg,504,,Compatibilidad,DEP450,1,1,Portabilidad,Portátiles,1,1,Tipo Accesorio,Antenas,1,1,Frecuencia,VHF,1,1,Tipo Producto,Accesorios,1,1,Modalidad,Venta,1,1,Marca,Motorola,1,1,,,,
3774,simple,PMAD4014A,,Antena standard VHF 136-155 MHZ,1,0,visible,Antena rango VHF,,1,,0,0,24415,"Ventas > Accesorios, Ventas > Accesorios > Antenas",,,https://www.interwins.cl/wp-content/uploads/2023/12/PMAD4014-Antena-standard-VHF-136-155-MHZ.jpg,514,,Compatibilidad,DEP450,1,1,Portabilidad,Portátiles,1,1,Tipo Accesorio,Antenas,1,1,Frecuencia,VHF,1,1,Tipo Producto,Accesorios,1,1,Modalidad,Venta,1,1,Marca,Motorola,1,1,,,,
3776,simple,PMAD4042A,,Antena helicoidal VHF 136-155 MHZ,1,0,visible,Antena rango VHF,,1,,0,0,31970,"Ventas > Accesorios, Ventas > Accesorios > Antenas",,,https://www.interwins.cl/wp-content/uploads/2023/12/PMAD4042–Antena-helicoidal-VHF-136-155-MHZ.jpg,510,,Compatibilidad,DEP450,1,1,Portabilidad,Portátiles,1,1,Tipo Accesorio,Antenas,1,1,Frecuencia,VHF,1,1,Tipo Producto,Accesorios,1,1,Modalidad,Venta,1,1,Marca,Motorola,1,1,,,,
3778,variable,PMAE4002A,,Antena corta UHF 403-433 MHZ,1,0,visible,Antena rango UHF,,1,,0,0,,"Ventas > Accesorios, Ventas > Accesorios > Portátiles > Antenas, Ventas > Accesorios > Antenas, Ventas > Accesorios > Portátiles, Ventas",,,https://www.interwins.cl/wp-content/uploads/2023/02/03-ANTENA-CORTA-403-433-MHZ.jpg,502,,Compatibilidad,"DEP250, DEP450",1,1,Portabilidad,Portátiles,1,1,Tipo Accesorio,Antenas,1,1,Frecuencia,UHF,1,1,Tipo Producto,Accesorios,1,1,Modalidad,Venta,1,1,Marca,Motorola,1,1,,,,
3779,variation,PMAE4002A,,"Antena corta UHF 403-433 MHZ - DEP450, UHF",1,0,visible,,Antena rango UHF,1,,0,0,15606,,,,https://www.interwins.cl/wp-content/uploads/2023/02/03-ANTENA-CORTA-403-433-MHZ.jpg,0,,Compatibilidad,DEP450,,1,Frecuencia,UHF,,1,,,,,,,,,,,,,,,,,,,,,,,,
